model,document,topic,rank,term,score
Sklearn TruncatedSVD,5,sci.med,3,need,0.06779858944816824
Sklearn TruncatedSVD,5,sci.med,4,good,0.06685814405843338
Sklearn TruncatedSVD,5,sci.med,5,hope,0.05937868253840864
Sklearn TruncatedSVD,5,sci.med,6,post,0.0511644251255821
Sklearn TruncatedSVD,5,sci.med,7,engine,0.047858381569781616
Sklearn TruncatedSVD,5,sci.med,8,come,0.04689983307419693
Sklearn TruncatedSVD,8,rec.autos,1,question,0.1500410560420019
Sklearn TruncatedSVD,8,rec.autos,2,year,0.12438768748164844
Sklearn TruncatedSVD,8,rec.autos,3,know,0.10447300246629142
Sklearn TruncatedSVD,8,rec.autos,4,point,0.0917378997874199
Sklearn TruncatedSVD,8,rec.autos,5,probably,0.08914306243739853
Sklearn TruncatedSVD,8,rec.autos,6,lot,0.08397770953938823
Sklearn TruncatedSVD,8,rec.autos,7,really,0.07485384197879678
Sklearn TruncatedSVD,8,rec.autos,8,medical,0.074038372646468
